neuron,category,formula,threshold
203,(scene OR object OR object),(staircase-s OR stairway OR escalator),5.7
204,(scene OR scene OR scene),(forest path-s OR mountain path-s OR flight of stairs-natural-s),4.7
205,(scene OR scene OR scene),(supermarket-s OR toyshop-s OR candy store-s),3.9
206,(scene OR scene OR object),(mosque-outdoor-s OR cloister-indoor-s OR washer),4.6
207,(scene OR object OR part),(archive-s OR bookcase OR balcony),5.6
208,(object OR object OR scene),(person OR truck OR batters box-s),4.1
209,(scene OR scene OR scene),(airport terminal-s OR art gallery-s OR ballroom-s),6.2
210,(scene OR object OR object),(cockpit-s OR computer OR windmill),4.3
211,(object OR scene OR scene),(runway OR football field-s OR parking garage-indoor-s),4.9
212,(object OR object OR scene),(pool table OR chandelier OR orchard-s),3.8
213,((scene OR scene) AND object),((building facade-s OR general store-outdoor-s) AND building),4.8
214,(scene OR scene OR object),(theater-indoor procenium-s OR casino-indoor-s OR stage),4.0
215,(part OR object OR object),(headboard OR pillow OR cushion),4.4
216,(object OR object OR object),(toilet OR sink OR countertop),4.0
217,(object OR scene OR object),(case OR bowling alley-s OR escalator),4.5
218,(object OR scene OR scene),(plane OR heliport-s OR runway-s),3.8
219,((scene OR scene) AND NOT object),((highway-s OR forest road-s) AND NOT sky),7.4
220,(scene OR object OR object),(amusement park-s OR arcade machine OR slot machine),4.5
221,((object OR scene) AND color),((grass OR golf course-s) AND green-c),6.8
222,(object OR object OR object),(house OR hovel OR caravan),4.6
223,(scene OR scene OR part),(bowling alley-s OR oast house-s OR roof),3.8
224,(scene OR scene OR part),(fire escape-s OR parking garage-outdoor-s OR windows),5.4
225,((scene AND object) OR object),((bathroom-s AND wall) OR toilet),5.9
226,((object AND color) OR scene),((earth AND brown-c) OR savanna-s),5.0
227,(scene OR scene OR scene),(shopping mall-indoor-s OR atrium-public-s OR water tower-s),4.4
228,(scene OR object OR scene),(airport terminal-s OR grandstand OR ice skating rink-indoor-s),5.0
229,(object OR scene OR scene),(pool table OR landing deck-s OR boxing ring-s),5.3
230,(object OR scene OR scene),(grandstand OR movie theater-indoor-s OR auditorium-s),4.4
231,(part OR object OR scene),(crosswalk OR pitch OR batters box-s),3.8
232,(object OR scene OR scene),(cradle OR casino-outdoor-s OR office building-s),4.7
233,(object OR scene OR scene),(bridge OR viaduct-s OR arch-s),4.7
234,(object OR object OR scene),(shelf OR desk OR ice cream parlor-s),5.4
235,(object OR object OR scene),(pitch OR path OR batters box-s),4.9
236,(scene OR scene OR object),(field-wild-s OR windmill-s OR tower),3.9
237,(scene OR scene OR object),(orchard-s OR heliport-s OR plane),3.4
238,(object OR scene OR scene),(pool table OR courtroom-s OR funeral chapel-s),4.4
239,((object AND color) OR scene),((mountain AND brown-c) OR kasbah-s),4.0
240,(object OR scene OR object),(court OR archaelogical excavation-s OR tennis court),4.3
241,(object OR scene OR scene),(kitchen island OR amphitheater-s OR auditorium-s),4.3
242,(scene OR scene OR scene),(corridor-s OR youth hostel-s OR dorm room-s),5.0
243,((scene AND object) OR scene),((living room-s AND wall) OR home office-s),6.1
244,((object OR object) AND NOT color),((water OR river) AND NOT blue-c),6.0
245,(scene OR scene OR scene),(closet-s OR castle-s OR kasbah-s),4.8
246,(scene OR object OR scene),(landing deck-s OR plane OR heliport-s),4.2
247,((object AND NOT part) AND scene),((bed AND NOT footboard) AND bedroom-s),7.3
248,(part OR scene OR scene),(shop window OR fairway-s OR golf course-s),2.7
249,(scene OR object OR scene),(gas station-s OR arcade machine OR airplane cabin-s),3.9
250,((object OR object) AND scene),((sofa OR fireplace) AND living room-s),4.8
251,(object OR object OR object),(toilet OR sink OR bathtub),5.0
252,(scene OR scene OR scene),(nursery-s OR childs room-s OR kindergarden classroom-s),4.9
253,(scene OR scene OR scene),(reception-s OR waiting room-s OR airport ticket counter-s),4.1
254,(part OR object OR scene),(crosswalk OR stairway OR amphitheater-s),4.0
255,(scene OR scene OR scene),(conference room-s OR synagogue-outdoor-s OR elevator-door-s),4.2
256,(object OR object OR scene),(tent OR autobus OR greenhouse-outdoor-s),4.1
257,(scene OR scene OR scene),(alley-s OR subway interior-s OR medina-s),4.1
258,(scene OR object OR scene),(casino-indoor-s OR case OR shopping mall-indoor-s),3.9
259,(object OR material OR scene),(flower OR food OR greenhouse-indoor-s),5.5
260,(scene OR scene OR scene),(playground-s OR sandbox-s OR bullring-s),3.5
